	word	frequency	volumes
0	million	49285	3893444.0
1	strong	16902	2602770.75
2	two	171042	2411585.75
3	overall	12541	2204899.75
4	four	63317	2161780.75
5	several	63236	2160540.0
6	short	24139	2131346.75
7	new	153024	1976717.75
8	due	40476	1620699.5
9	also	184893	1509402.375
10	category	8179	1422983.5
11	average	16452	1409114.5
12	three	94699	1388287.25
13	reached	19566	1326173.0
14	day	88804	1234239.75
15	developed	20611	1195261.5
16	high	50123	1132678.625
17	six	34923	1080561.25
18	made	78666	955346.0
19	could	54248	929758.875
20	eight	20375	890905.9375
21	one	193325	863225.5625
22	end	54679	798364.5
23	well	65275	792972.4375
24	began	52624	763340.6875
25	total	23508	758603.25
26	u	77384	736715.6875
27	part	76745	712397.125
28	next	32559	704151.875
29	additional	13194	686822.1875
30	channel	7805	679795.5
31	initially	16642	679514.1875
32	early	61905	674297.5625
33	around	47007	668189.3125
34	later	98400	651265.6875
35	back	45162	637680.0625
36	although	54736	629031.9375
37	upon	22065	623466.3125
38	throughout	22123	615394.625
39	however	70160	605421.8125
40	addition	18541	558522.0625
41	october	41424	556097.4375
42	five	44162	553343.8125
43	long	46544	551769.3125
44	november	38234	505051.59375
45	reported	19936	485638.96875
46	another	44204	474187.875
47	main	33557	458022.15625
48	light	23281	451193.0
49	away	20934	449394.09375
50	provided	15589	438690.125
51	annual	8824	433854.28125
52	becoming	11201	428025.46875
53	initial	10281	418062.03125
54	side	36253	415589.09375
55	full	18805	412679.125
56	level	26870	400344.09375
57	american	61467	377544.625
58	december	35321	375059.8125
59	far	15002	373419.5
60	major	37321	372860.8125
61	including	63222	363173.90625
62	status	9656	363045.4375
63	included	34976	358364.09375
64	mostly	9996	354698.40625
65	night	22283	350423.96875
66	time	165513	344417.53125
67	april	37482	338820.53125
68	within	33321	331056.6875
69	following	56825	325571.1875
70	february	30753	320453.71875
71	direction	9727	316385.5
72	since	47452	311503.59375
73	industry	13428	311499.125
74	turned	13430	307328.53125
75	september	45264	303486.28125
76	towards	16028	300938.8125
77	minute	23478	300646.1875
78	late	32236	296970.75
79	august	41905	296162.6875
80	ber	64500	290336.65625
81	june	39186	290292.0625
82	entire	12068	286805.28125
83	people	51150	284632.0
84	nine	14593	284134.0625
85	continued	27599	283693.25
86	july	38497	280759.5
87	highest	13856	261194.0
88	impact	10094	259909.84375
89	united	63423	256621.765625
90	commercial	11727	255136.140625
91	became	63828	253452.625
92	much	37418	242400.359375
93	state	118036	242125.40625
94	without	27144	239972.359375
95	moving	9838	233976.09375
96	march	39106	233459.875
97	still	32182	233288.5
98	january	34776	230360.484375
99	open	18472	229854.453125
100	crew	16649	229043.953125
101	would	126593	228474.53125
102	designed	14744	219310.453125
103	despite	26898	217940.203125
104	network	12282	215026.34375
105	ten	21226	212413.203125
106	making	22476	211751.015625
107	erous	9847	211264.890625
108	begin	14017	208318.875
109	hour	23837	205075.6875
110	location	14837	198694.53125
111	cut	13051	195426.859375
112	though	30431	195044.421875
113	japan	14332	191824.140625
114	peaking	2392	188260.203125
115	shortly	10793	177458.75
116	least	15576	176078.609375
117	dropped	7593	175994.484375
118	point	46490	175939.796875
119	system	46291	173103.59375
120	quickly	11662	172924.234375
121	originally	18153	171412.859375
122	almost	16835	167866.109375
123	minor	10198	167552.140625
124	limited	11651	167503.09375
125	may	83792	167482.640625
126	design	25772	167407.109375
127	turn	17109	166534.5
128	twenty	9244	166430.515625
129	report	17377	164865.625
130	listed	8644	164189.515625
131	based	36270	162489.59375
132	national	46849	160645.859375
133	placed	15141	159988.890625
134	development	27419	159772.53125
135	le	27434	159294.1875
136	entered	10931	157147.640625
137	b	26957	156570.5
138	action	25224	154177.21875
139	per	22159	154081.09375
140	brought	15476	153320.625
141	home	43899	150069.78125
142	california	12760	147246.625
143	great	31438	140545.265625
144	country	34584	139862.53125
145	left	36465	139081.375
146	pilot	10075	138775.71875
147	intended	10491	138538.75
148	running	11010	136426.28125
149	large	37236	133688.71875
150	america	20510	133192.03125
151	nearly	10923	132577.515625
152	world	75851	132220.828125
153	set	42205	131871.625
154	condition	14112	130518.25
155	past	11753	129925.8515625
156	significant	13912	129642.9140625
157	percent	10907	128716.734375
158	many	66193	127302.3359375
159	using	23467	127261.796875
160	close	17108	126285.4140625
161	low	20158	123396.25
162	available	13777	122581.3203125
163	issued	9684	121248.328125
164	draft	7448	121152.28125
165	use	43002	120145.5078125
166	special	18053	119521.984375
167	used	69849	118814.1875
168	company	42888	117708.359375
169	project	22444	116510.671875
170	summer	15411	115223.0390625
171	able	18525	115218.859375
172	response	12583	113284.1328125
173	field	23884	112425.9140625
174	center	22264	112164.7109375
175	behind	17290	111784.765625
176	heavily	6358	107848.8203125
177	month	34641	107729.171875
178	length	12618	105136.921875
179	international	24810	103962.203125
180	rest	14570	103062.6875
181	subsequently	10558	101610.5859375
182	beyond	6623	100218.890625
183	men	33114	99184.296875
184	approach	9182	96310.1015625
185	followed	19062	95787.8828125
186	head	26426	94804.203125
187	triple	4580	92729.3125
188	increase	11768	92331.59375
189	small	31159	92002.1640625
190	cover	14986	91891.3203125
191	first	204049	91552.9765625
192	forward	10346	90730.03125
193	canada	13085	90598.171875
194	allowed	15325	90432.6953125
195	canadian	9842	89964.2265625
196	enough	13046	89620.84375
197	mid	14766	87737.515625
